Const,Your Rating,Date Rated,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt0103873,5,2013-07-18,Braindead,https://www.imdb.com/title/tt0103873/,movie,7.5,104,1992,"Comedy, Horror",83575,1992-07-30,Peter Jackson
tt0113409,4,2018-02-21,In the Mouth of Madness,https://www.imdb.com/title/tt0113409/,movie,7.2,95,1994,"Fantasy, Horror, Mystery, Thriller",49345,1994-12-10,John Carpenter
tt1179933,8,2016-05-16,10 Cloverfield Lane,https://www.imdb.com/title/tt1179933/,movie,7.2,103,2016,"Drama, Horror, Mystery, Sci-Fi, Thriller",234597,2016-03-08,Dan Trachtenberg
tt1182345,7,2018-01-23,Moon,https://www.imdb.com/title/tt1182345/,movie,7.9,97,2009,"Drama, Mystery, Sci-Fi",294722,2009-01-23,Duncan Jones
tt1259521,8,2012-10-07,The Cabin in the Woods,https://www.imdb.com/title/tt1259521/,movie,7.0,95,2012,"Comedy, Fantasy, Horror",315668,2012-03-09,Drew Goddard
tt1288558,8,2013-07-18,Evil Dead,https://www.imdb.com/title/tt1288558/,movie,6.5,91,2013,"Fantasy, Horror, Thriller",139599,2013-03-08,Fede Alvarez
tt0134847,8,2016-10-15,Pitch Black,https://www.imdb.com/title/tt0134847/,movie,7.1,109,2000,"Horror, Sci-Fi",207197,2000-02-18,David Twohy
tt1408101,8,2013-12-30,Star Trek: Into Darkness,https://www.imdb.com/title/tt1408101/,movie,7.8,132,2013,"Action, Adventure, Sci-Fi",432351,2013-05-02,J.J. Abrams
tt1446714,8,2012-12-25,Prometheus,https://www.imdb.com/title/tt1446714/,movie,7.0,124,2012,"Adventure, Mystery, Sci-Fi",516661,2012-04-11,Ridley Scott
tt1534085,7,2018-04-20,Beyond the Black Rainbow,https://www.imdb.com/title/tt1534085/,movie,6.0,110,2010,"Horror, Sci-Fi, Thriller",8182,2010-12-03,Panos Cosmatos
tt1536537,8,2017-08-20,What Happened to Monday,https://www.imdb.com/title/tt1536537/,movie,6.9,123,2017,"Action, Adventure, Crime, Drama, Mystery, Sci-Fi, Thriller",60618,2017-08-06,Tommy Wirkola
tt1540011,4,2016-12-29,Blair Witch,https://www.imdb.com/title/tt1540011/,movie,5.0,89,2016,"Horror, Thriller",32719,2016-09-11,Adam Wingard
tt1542344,6,2018-04-24,127 Hours,https://www.imdb.com/title/tt1542344/,movie,7.6,94,2010,"Adventure, Biography, Drama, Thriller",308384,2010-09-04,Danny Boyle
tt1637688,9,2015-08-07,In Time,https://www.imdb.com/title/tt1637688/,movie,6.7,109,2011,"Action, Crime, Drama, Mystery, Romance, Sci-Fi, Thriller",332526,2011-10-20,Andrew Niccol
tt1703199,10,2011-09-08,Grave Encounters,https://www.imdb.com/title/tt1703199/,movie,6.1,92,2011,Horror,45492,2011-04-22,"The Vicious Brothers, Colin Minihan, Stuart Ortiz"
tt1735485,6,2013-01-21,The Tunnel,https://www.imdb.com/title/tt1735485/,movie,5.9,90,2011,"Horror, Mystery, Thriller",17150,2011-05-19,Carlo Ledesma
tt1778304,5,2011-10-24,Paranormal Activity 3,https://www.imdb.com/title/tt1778304/,movie,5.8,83,2011,Horror,82675,2011-10-14,"Henry Joost, Ariel Schulman"
tt1905040,8,2018-03-17,The Dyatlov Pass Incident,https://www.imdb.com/title/tt1905040/,movie,5.7,100,2013,"Horror, Mystery, Sci-Fi, Thriller",18867,2013-02-28,Renny Harlin
tt1959332,8,2013-09-30,American Mary,https://www.imdb.com/title/tt1959332/,movie,6.3,103,2012,"Drama, Horror",19270,2012-08-27,"Sylvia Soska, Jen Soska"
tt1991245,5,2014-02-17,Chernobyl Diaries,https://www.imdb.com/title/tt1991245/,movie,5.0,86,2012,"Horror, Mystery, Thriller",56972,2012-05-24,Bradley Parker
tt2091478,4,2015-09-19,Air,https://www.imdb.com/title/tt2091478/,movie,5.1,95,2015,"Drama, Sci-Fi, Thriller",10739,2015-08-14,Christian Cantamessa
tt2251281,7,2017-01-02,Dark Was the Night,https://www.imdb.com/title/tt2251281/,movie,5.6,90,2014,"Drama, Horror, Thriller",6821,2014-10-16,Jack Heller
tt2316204,8,2017-07-14,Alien: Covenant,https://www.imdb.com/title/tt2316204/,movie,6.5,122,2017,"Horror, Sci-Fi, Thriller",196178,2017-05-04,Ridley Scott
tt2317225,8,2015-11-23,The Machine,https://www.imdb.com/title/tt2317225/,movie,6.1,91,2013,"Action, Drama, Sci-Fi, Thriller",27556,2013-04-20,Caradog W. James
tt2543164,7,2017-01-16,Arrival,https://www.imdb.com/title/tt2543164/,movie,7.9,116,2016,"Drama, Mystery, Sci-Fi, Thriller",445110,2016-09-01,Denis Villeneuve
